food_id,name,protein,fat,carbs,calories,fiber,sodium,sugar
320407,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",23.3,2.27,NULL,NULL,NULL,NULL,NULL
320409,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",22.7,1.47,NULL,NULL,NULL,NULL,NULL
320411,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",22.6,1.74,NULL,NULL,NULL,NULL,NULL
320448,"TOMATOES, GRAPE",NULL,0.7,NULL,NULL,NULL,NULL,NULL
320450,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,NULL,6,NULL
320456,"TOMATOES, GRAPE",NULL,0.6,NULL,NULL,NULL,NULL,NULL
320457,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,2.2,NULL,NULL
320459,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,NULL,4,NULL
320465,"TOMATOES, GRAPE",NULL,0.5,NULL,NULL,NULL,NULL,NULL
320466,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,1.9,NULL,NULL
320469,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,NULL,5,NULL
320483,"TOMATOES, GRAPE",NULL,0.46,NULL,NULL,NULL,NULL,NULL
320484,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,NULL,7,NULL
320502,"TOMATOES, GRAPE",NULL,0.82,NULL,NULL,NULL,NULL,NULL
320503,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,NULL,3,NULL
320517,"TOMATOES, GRAPE",NULL,0.69,NULL,NULL,NULL,NULL,NULL
320518,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,2.2,NULL,NULL
320521,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,NULL,10,NULL
321358,"Hummus, commercial",7.35,17.1,14.9,229,5.4,438,NULL
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.35,1.9,4.91,50,NULL,39,NULL
321360,"Tomatoes, grape, raw",0.83,0.63,5.51,27,2.1,6,NULL
321365,Salt; iodized,NULL,NULL,NULL,NULL,NULL,37200,NULL
321371,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38900,NULL
321377,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38100,NULL
321383,Salt; iodized,NULL,NULL,NULL,NULL,NULL,37300,NULL
321388,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38600,NULL
321393,Salt; iodized,NULL,NULL,NULL,NULL,NULL,37700,NULL
321398,Salt; iodized,NULL,NULL,NULL,NULL,NULL,40100,NULL
321404,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38400,NULL
321410,Salt; iodized,NULL,NULL,NULL,NULL,NULL,39500,NULL
321416,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38100,NULL
321421,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38300,NULL
321427,Salt; iodized,NULL,NULL,NULL,NULL,NULL,40300,NULL
321433,Salt; iodized,NULL,NULL,NULL,NULL,NULL,39100,NULL
321439,Salt; iodized,NULL,NULL,NULL,NULL,NULL,39400,NULL
321445,Salt; iodized,NULL,NULL,NULL,NULL,NULL,39000,NULL
321450,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38000,NULL
321456,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38400,NULL
321462,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38200,NULL
321469,Salt; iodized,NULL,NULL,NULL,NULL,NULL,40700,NULL
321479,Salt; iodized,NULL,NULL,NULL,NULL,NULL,37200,NULL
321485,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38200,NULL
321491,Salt; iodized,NULL,NULL,NULL,NULL,NULL,39000,NULL
321497,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38600,NULL
321503,Salt; iodized,NULL,NULL,NULL,NULL,NULL,39600,NULL
321505,"Salt, table, iodized",NULL,NULL,NULL,NULL,NULL,38700,NULL
321510,Beans snap canned drained,NULL,NULL,NULL,NULL,NULL,319,NULL
321511,"Beans, snap, canned, drained - NFY1211Z9",NULL,0.43,NULL,NULL,NULL,NULL,NULL
321519,Beans snap canned drained,NULL,NULL,NULL,NULL,NULL,327,NULL
321520,"Beans, snap, canned, drained - NFY1211ZM",NULL,0.38,NULL,NULL,NULL,NULL,NULL
321525,Beans snap canned drained,NULL,NULL,NULL,NULL,NULL,315,NULL
321526,"Beans, snap, canned, drained - NFY1211Z2",NULL,0.43,NULL,NULL,NULL,NULL,NULL
321535,Beans snap canned drained,NULL,NULL,NULL,NULL,NULL,328,NULL
321536,"Beans, snap, canned, drained - NFY1211YP",NULL,0.3,NULL,NULL,NULL,NULL,NULL
321545,Beans snap canned drained,NULL,NULL,NULL,NULL,NULL,301,NULL
321546,"Beans, snap, canned, drained - NFY1211YW",NULL,0.43,NULL,NULL,NULL,NULL,NULL
321554,Beans snap canned drained,NULL,NULL,NULL,NULL,NULL,319,NULL
321555,"Beans, snap, canned, drained - NFY1211ZF",NULL,0.38,NULL,NULL,NULL,NULL,NULL
321564,Beans snap canned drained,NULL,NULL,NULL,NULL,NULL,234,NULL
321565,"Beans, snap, canned, drained - NFY1211ZZ",NULL,0.35,NULL,NULL,NULL,NULL,NULL
321570,Beans snap canned drained,NULL,NULL,NULL,NULL,NULL,309,NULL
321571,"Beans, snap, canned, drained - NFY12120I",NULL,0.38,NULL,NULL,NULL,NULL,NULL
321580,Beans snap canned drained,NULL,NULL,NULL,NULL,NULL,183,NULL
321581,"Beans, snap, canned, drained - NFY12120C",NULL,0.47,NULL,NULL,NULL,NULL,NULL
321589,Beans snap canned drained,NULL,NULL,NULL,NULL,NULL,237,NULL
321590,"Beans, snap, canned, drained - NFY12120P",NULL,0.41,NULL,NULL,NULL,NULL,NULL
321598,Beans snap canned drained,NULL,NULL,NULL,NULL,NULL,263,NULL
321599,"Beans, snap, canned, drained - NFY121205",NULL,0.39,NULL,NULL,NULL,NULL,NULL
321608,Beans snap canned drained,NULL,NULL,NULL,NULL,NULL,243,NULL
321609,"Beans, snap, canned, drained - NFY1211ZS",NULL,0.37,NULL,NULL,NULL,NULL,NULL
321611,"Beans, snap, green, canned, regular pack, drained solids",1.04,0.39,4.11,21,NULL,282,NULL
321660,"Broccoli, Region 1, n/a, Yes, Proximates - NFY01047M",NULL,0.38,NULL,NULL,NULL,NULL,NULL
321661,"Broccoli, Region 1, n/a, Yes, Minerals - NFY01047O",NULL,NULL,NULL,NULL,NULL,28,NULL
321663,"Broccoli, Region 1, n/a, Yes, Fiber - NFY01047T",NULL,NULL,NULL,NULL,2,NULL,NULL
321673,"Broccoli, Region 1, n/a, Yes, Proximates - NFY01048F",NULL,0.41,NULL,NULL,NULL,NULL,NULL
321682,"Broccoli, Pass 2, Region 1, n/a, Yes, Proximates - NFY010CUE",NULL,0.37,NULL,NULL,NULL,NULL,NULL
321706,"Broccoli, Region 3, n/a, Yes, Proximates - NFY0104BP",NULL,0.36,NULL,NULL,NULL,NULL,NULL
321709,"Broccoli, Region 3, n/a, Yes, Proximates - NFY0104AU",NULL,0.22,NULL,NULL,NULL,NULL,NULL
321710,"Broccoli, Region 3, n/a, Yes, Minerals - NFY0104AW",NULL,NULL,NULL,NULL,NULL,37,NULL
321712,"Broccoli, Region 3, n/a, Yes, Fiber - NFY0104B1",NULL,NULL,NULL,NULL,2.5,NULL,NULL
321731,"Broccoli, Region 4, n/a, Yes, Proximates - NFY0104BX",NULL,0.3,NULL,NULL,NULL,NULL,NULL
321732,"Broccoli, Region 4, n/a, Yes, Minerals - NFY0104BZ",NULL,NULL,NULL,NULL,NULL,38,NULL
321735,"Broccoli, Region 4, n/a, Yes, Fiber - NFY0104C5",NULL,NULL,NULL,NULL,2.7,NULL,NULL
321745,"Broccoli, Region 4, n/a, Yes, Proximates - NFY0104CS",NULL,0.42,NULL,NULL,NULL,NULL,NULL
321747,"Broccoli, Cooked, Region 4, n/a, Yes, Proximates - NFY0104CY",NULL,0.52,NULL,NULL,NULL,NULL,NULL
321748,"Broccoli, Cooked, Region 4, n/a, Yes, Proximates - NFY0104DY",NULL,0.47,NULL,NULL,NULL,NULL,NULL
321749,"Broccoli, Cooked, Region 4, n/a, Yes, Minerals - NFY0104D0",NULL,NULL,NULL,NULL,NULL,31,NULL
321752,"Broccoli, Cooked, Region 4, n/a, Yes, Fiber - NFY0104D6",NULL,NULL,NULL,NULL,3.2,NULL,NULL
321775,"Broccoli, Region 2, n/a, Yes, Proximates - NFY01048K",NULL,0.34,NULL,NULL,NULL,NULL,NULL
321776,"Broccoli, Region 2, n/a, Yes, Minerals - NFY01048M",NULL,NULL,NULL,NULL,NULL,25,NULL
321778,"Broccoli, Region 2, n/a, Yes, Fiber - NFY01048R",NULL,NULL,NULL,NULL,2.5,NULL,NULL
321790,"Broccoli, Region 2, n/a, Yes, Proximates - NFY01049F",NULL,0.3,NULL,NULL,NULL,NULL,NULL
321793,"Broccoli, Cooked, Region 2, n/a, Yes, Proximates - NFY01049N",NULL,0.29,NULL,NULL,NULL,NULL,NULL
321794,"Broccoli, Cooked, Region 2, n/a, Yes, Minerals - NFY01049P",NULL,NULL,NULL,NULL,NULL,32,NULL
321796,"Broccoli, Cooked, Region 2, n/a, Yes, Fiber - NFY01049U",NULL,NULL,NULL,NULL,2.2,NULL,NULL
321809,"Broccoli, Cooked, Region 2, n/a, Yes, Proximates - NFY0104AN",NULL,0.45,NULL,NULL,NULL,NULL,NULL
321817,"Broccoli, Pass 2, Region 2, n/a, Yes, Proximates - NFY010D7D",NULL,0.31,NULL,NULL,NULL,NULL,NULL
321818,"Broccoli, Pass 2, Region 2, n/a, Yes, Minerals - NFY010D7F",NULL,NULL,NULL,NULL,NULL,32,NULL
321831,"Broccoli, steamed, Pass 2, Region 2, n/a, Yes, Proximates - NFY010D8W",NULL,0.43,NULL,NULL,NULL,NULL,NULL
321832,"Broccoli, steamed, Pass 2, Region 2, n/a, Yes, Minerals - NFY010D8X",NULL,NULL,NULL,NULL,NULL,62,NULL
321850,"Broccoli, Pass 2, Region 4, n/a, Yes, Minerals - NFY010CVA",NULL,NULL,NULL,NULL,NULL,51,NULL
321862,"Broccoli, Pass 2, Region 4, n/a, Yes, Proximates - NFY010CV8",NULL,0.23,NULL,NULL,NULL,NULL,NULL
